user_id,traffic_session,total_click,total_order,total_item,revenue,total_session,recency,cluster,PCA1,PCA2
10012,Adwords,1,1,1,37.680000305175774,1,274.0,1,-0.2886664662853946,0.09926445221888429
10018,Email,4,2,10,350.76999950408936,4,121.0,1,-0.11629424021592905,0.014914388117931438
10026,Adwords,1,1,1,39.9900016784668,1,31.0,1,-0.14890471221274407,-0.6327878374718499
10033,Email,2,1,4,89.95999908447266,2,0.0,1,-0.15875713590194693,0.022412983849611545
10043,Email,2,1,4,266.0,2,92.0,1,-0.1791052157135166,0.025993006203169987
1005,Adwords,1,1,1,75.0,1,152.0,1,-0.25596476176143135,-0.29269616780903057
10050,Adwords,1,1,1,85.0,1,305.0,1,-0.2636823252245127,0.11052782283427758
10071,Organic,2,2,2,114.0,2,31.0,1,-0.11985627116266545,0.013281144281466541
10075,Adwords,2,2,2,84.95000076293945,2,152.0,1,-0.13419931077791092,0.01092430081210133
10076,Adwords,1,1,1,79.98999786376953,1,92.0,1,-0.19736931488693124,-0.5666475824683891
10078,Adwords,1,1,1,94.0,1,183.0,1,-0.27854211795622524,-0.14189101866295833
10087,Email,1,1,1,11.340000152587892,1,92.0,2,0.7237466922727159,0.05543174103812859
10095,Adwords,1,1,1,28.899999618530277,1,183.0,1,-0.28068178024829193,-0.1439810223949283
10098,Adwords,1,1,1,55.2599983215332,1,31.0,1,-0.14899172649925477,-0.6337329407825266
101,YouTube,3,2,5,95.96999931335449,3,336.0,1,-0.11495621748641784,0.014704685928173335
1010,Adwords,1,1,1,129.99000549316406,1,121.0,1,-0.21995648994860437,-0.42179042093891467
10118,Email,2,2,2,219.9499969482422,2,0.0,1,-0.11984811024629924,0.01337325095032755
10129,Email,1,1,1,39.5,1,183.0,0,0.21546703210715618,0.5777311633169838
10130,Email,3,1,9,563.4900054931641,3,183.0,1,-0.12161153481275226,0.015765866067904918
10132,Email,4,1,16,1260.9199905395508,4,31.0,1,-0.11681438490429417,0.014997619261833914
10155,Adwords,4,1,16,363.55999755859375,4,274.0,1,-0.11515630423126426,0.014734621003096571
10159,Adwords,2,2,2,50.98000144958496,2,61.0,1,-0.1349786503321175,0.004106625247352057
1016,Adwords,2,2,2,57.83000183105469,2,244.0,1,-0.1282417137584403,0.017003484065033464
10162,Adwords,1,1,1,56.59999847412109,1,61.0,1,-0.17033491224003305,-0.6425369064323776
