user_id,frequency,monetary,recency,cluster,PCA1,PCA2
12631,1,15.559999942779545,0.0,0,-83.3445634177486,-70.55813171237678
97874,2,47.805450767957794,0.0,0,-51.08683516952702,-70.41445729449688
63363,1,46.53000006638467,0.0,0,-52.37965822798927,-70.42000461811391
57946,1,25.490399291580907,0.0,0,-73.41579773790235,-70.51384184471623
78411,4,143.9729977648556,0.0,0,45.10005548805653,-69.98582970638637
5274,16,508.41088072282344,0.0,2,409.6889702787699,-68.36212091149902
62196,1,35.11489847466247,0.0,0,-63.792881899555766,-70.47091630062235
78527,1,22.458241016762557,0.0,0,-76.44745718657413,-70.5273653581219
21922,1,26.945069201574036,0.0,0,-71.96136713843323,-70.50735397493976
26482,1,2.5024199116024377,0.0,0,-96.39999532150607,-70.6163688961226
19612,4,71.5319998562336,0.0,0,-27.3290250137006,-70.30891864751253
14183,16,400.5040053491518,0.0,2,301.7998468711737,-68.84338868956978
57676,4,177.4110818648395,0.0,0,78.53263862498765,-69.83669488636664
30327,1,17.802179635228285,0.0,0,-81.10275259056152,-70.54813152624503
24463,1,465.94799900427466,0.0,0,366.96934145417407,-68.54938823956779
90081,16,679.2641686306821,0.0,2,580.5141507860545,-67.60011031706044
95433,2,43.31560070530101,0.0,0,-55.575946598378316,-70.43448215534076
49451,2,26.745119963427186,0.0,0,-72.14370129883017,-70.50838697762933
82446,4,160.8562465697264,0.0,0,61.98052679743422,-69.91052992951118
71562,1,35.387499972246594,0.0,0,-63.52032524816444,-70.46970049007656
15466,3,49.601760170681175,0.0,0,-49.27323909737382,-70.4065869260408
74088,1,94.4729981956333,0.0,0,-4.44454729289207,-70.2061774629506
90183,1,16.60680034475103,0.0,0,-82.29793522690956,-70.55346295237601
82811,1,18.355410799615235,0.0,0,-80.5496124392896,-70.5456640992871
33475,1,27.99499997869134,0.0,0,-70.91160908743251,-70.50267125337562
70582,6,91.42079964106419,0.0,0,-7.4083328058547275,-70.22049647316938
41364,1,31.101700412172075,0.0,0,-67.80541974317119,-70.48881527979123
50643,4,183.82080063147544,0.0,0,84.94130291655233,-69.80810735570009
74621,4,354.2258802302432,0.0,0,255.31834885035067,-69.04809578325415
31030,4,209.14860170653895,0.0,0,110.26493726670705,-69.69514463201261
35471,2,52.200238481146975,0.0,0,-46.69277045125473,-70.39485641447355
49338,1,20.358110544219016,0.0,0,-78.54724216264421,-70.53673200063359
16243,1,10.536000031046568,0.0,0,-88.36773682166451,-70.58053889696222
54974,1,4.458419888714253,0.0,0,-94.44431712968472,-70.60764507977974
49953,1,91.32400025427341,0.0,0,-7.5930271865887855,-70.22022208464075
22498,2,71.27420067923069,0.0,0,-27.621946147106808,-70.3097859926465
83576,1,35.00610904027463,0.0,0,-63.90165343678605,-70.47140150463909
88635,1,14.155279914926533,0.0,0,-84.7490523524279,-70.56439680423736
97502,17,1842.3590096261971,0.0,2,1743.435231012503,-62.41281498572751
11182,1,25.257150361555063,0.0,0,-73.6490082957014,-70.51488214167507
12737,1,20.954760813371983,0.0,0,-77.95069004956613,-70.53407092321545
30637,1,14.695099894551188,0.0,0,-84.20932117961866,-70.56198919155047
31145,1,44.30250003933907,0.0,0,-54.60679180475284,-70.42993933251425
89053,1,7.496499986387789,0.0,0,-91.40673683236815,-70.59409515487324
63176,1,10.490999976173043,0.0,0,-88.41272947349309,-70.58073959850553
74886,20,434.41299834277476,0.0,2,335.77359016649893,-68.69271849556493
10971,5,181.99778005346775,0.0,0,83.13616443085935,-69.81637930340291
15511,1,13.293999994173646,0.0,0,-85.61019058237672,-70.56823813753816
21828,2,34.59900927389576,0.0,0,-64.29110404668612,-70.47335840466236
2567,4,95.01580046096146,0.0,0,-3.8490877738437317,-70.20418021913567
17242,1,3.163049889479577,0.0,0,-95.7394740251278,-70.61342246735725
